target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL211	tr5_pharm8_3	7	3	0.7	0.004	0.018000000000000002	0.035	0.022000000000000002	0.08199999999999999	0.507	2.068	6	8.709313459341644	aaDAPHHH
CHEMBL211	tr5_pharm8_0	6	2	0.75	0.003	0.015	0.03	0.019	0.071	0.506	2.2159999999999997	6	8.627762331724078	aaDAPHHH
CHEMBL211	tr5_pharm8_2	4	1	0.8	0.001	0.01	0.02	0.013000000000000001	0.049	0.504	2.363	5	12.171447394593596	aaaDAHHH
CHEMBL211	tr0_pharm7_1	28	18	0.609	0.025	0.07200000000000001	0.129	0.08800000000000001	0.245	0.524	1.798	4	7.645180217751875	aaDAPHH
CHEMBL211	tr0_pharm7_0	27	11	0.711	0.015	0.07	0.127	0.085	0.25	0.527	2.099	4	8.127078974451651	aaDAPHH
CHEMBL211	tr16_pharm4_0	18	29	0.38299999999999995	0.04	0.046	0.083	0.055999999999999994	0.156	0.503	1.131	3	7.973409558914198	aAHH
CHEMBL211	tr22_pharm9_20	0	0	0	0	0	0	0	0	0	0	6	13.000871683533695	aaAAAPHHH
CHEMBL211	tr22_pharm9_1	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	13.469823039499333	aaAAAAPHH
CHEMBL211	tr22_pharm9_10	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	13.62946991376962	aaAAAAPHH
CHEMBL211	tr22_pharm9_17	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	13.167248753956274	aaAAAAPHH
CHEMBL211	tr22_pharm9_0	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	13.633019380053904	aaAAAAPHH
CHEMBL211	tr22_pharm9_11	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	13.581307298110854	aaAAAAPHH
CHEMBL211	tr22_pharm9_23	13	0	1.0	0.0	0.034	0.065	0.042	0.148	0.517	2.954	6	12.624661900027675	aaAAAAPHH
CHEMBL211	tr22_pharm9_27	12	0	1.0	0.0	0.031	0.06	0.038	0.138	0.515	2.954	6	13.832176622764681	aaAAAAPHH
CHEMBL211	tr22_pharm9_24	11	0	1.0	0.0	0.028	0.055	0.035	0.127	0.514	2.954	6	12.794868675587995	aaAAAAPHH
